prodvec,modelvec,newmodv,model_year,id,firmid,market,hpwt,space,air,mpd,price,mpg,quantity,share,share_out,year,domestic,japan,european
CVBELA,CVBELA,CVBELA71,71,163,19,1,0.388532,1.736,0,1.4175,7.982716,1.274,48.786,0.000732,0.880106,71,1,0,0
CVIMPA,CVIMPA,CVIMPA71,71,165,19,1,0.385638,1.736,0,1.406374,8.37284,1.264,577.313,0.008658,0.880106,71,1,0,0
CVCAPR,CVCAPR,CVCAPR71,71,167,19,1,0.631188,1.736,0,1.463118,10.207407,1.315,139.272,0.002089,0.880106,71,1,0,0
CVCORV,CVCORV,CVCORV71,71,169,19,1,0.843223,1.2627,0,1.872569,13.661728,1.683,23.87,0.000358,0.880106,71,1,0,0
CRNEWP,CRNEWP,CRNEWP71,71,170,16,1,0.659314,1.8,0,1.528764,10.345679,1.374,69.197,0.001038,0.880106,71,1,0,0
CR300,CR300,CR30071,71,171,16,1,0.775283,1.8,0,1.65783,11.57284,1.49,7.98,0.00012,0.880106,71,1,0,0
CRNEWY,CRNEWY,CRNEWY71,71,172,16,1,0.77278,1.8,0,1.893709,12.123457,1.702,22.581,0.000339,0.880106,71,1,0,0
DGCOLT,DGCOLT,DGCOLT71,71,173,16,1,0.49505,1.0168,0,2.330975,4.925926,2.095,28.381,0.000426,0.880106,71,1,0,0
DGDART,DGDART,DGDART71,71,177,16,1,0.431034,1.379,0,1.949341,6.049383,1.752,208.085,0.003121,0.880106,71,1,0,0
DGCHLN,DGCHLN,DGCHLN71,71,179,16,1,0.413907,1.4784,0,1.654492,6.733333,1.487,29.356,0.00044,0.880106,71,1,0,0
DGCORN,DGCORN,DGCORN71,71,181,16,1,0.446841,1.6146,0,1.614437,6.85679,1.451,123.147,0.001847,0.880106,71,1,0,0
DGCHAR,DGCHAR,DGCHAR71,71,184,16,1,0.451011,1.5862,0,1.544341,6.683951,1.388,4.012,0.00006,0.880106,71,1,0,0
DGPOLA,DGPOLA,DGPOLA71,71,186,16,1,0.386152,1.768,0,1.378558,8.14321,1.239,71.802,0.001077,0.880106,71,1,0,0
DGMONA,DGMONA,DGMONA71,71,188,16,1,0.679012,1.768,0,1.55658,10.42716,1.399,18.265,0.000274,0.880106,71,1,0,0
FDPINT,FDPINT,FDPINT71,71,190,18,1,0.384813,1.141,0,2.266442,4.738272,2.037,328.275,0.004923,0.880106,71,1,0,0
FDMAVE,FDMAVE,FDMAVE71,71,192,18,1,0.384172,1.3277,0,2.130701,5.518519,1.915,247.626,0.003714,0.880106,71,1,0,0
FDTORI,FDTORI,FDTORI71,71,194,18,1,0.464297,1.5939,0,1.711236,6.597531,1.538,268.726,0.00403,0.880106,71,1,0,0
FDMUST,FDMUST,FDMUST71,71,197,18,1,0.497769,1.425,0,1.732376,7.187654,1.557,122.933,0.001844,0.880106,71,1,0,0
FDCUST,FDCUST,FDCUST71,71,201,18,1,0.380952,1.736,0,1.458668,8.118519,1.311,33.945,0.000509,0.880106,71,1,0,0
FDGALA,FDGALA,FDGALA71,71,203,18,1,0.376851,1.736,0,1.443091,8.874074,1.297,220.572,0.003308,0.880106,71,1,0,0
FDLTD,FDLTD,FDLTD71,71,205,18,1,0.602864,1.736,0,1.447541,9.706173,1.301,321.053,0.004815,0.880106,71,1,0,0
FDTHNB,FDTHNB,FDTHNB71,71,207,18,1,0.820232,1.677,0,2.050591,13.074074,1.843,38.489,0.000577,0.880106,71,1,0,0
LCCONT,LCCONT,LCCONT71,71,209,18,1,0.719637,1.8,0,2.079519,18.318519,1.869,35.802,0.000537,0.880106,71,1,0,0
LCMRKI,LCMRKI,LCMRKI71,71,210,18,1,0.729562,1.736,0,1.970481,21.760494,1.771,29.828,0.000447,0.880106,71,1,0,0
MCCOME,MCCOME,MCCOME71,71,212,18,1,0.382848,1.3419,0,2.127363,5.637037,1.912,62.373,0.000935,0.880106,71,1,0,0
MCMONT,MCMONT,MCMONT71,71,214,18,1,0.449195,1.638,0,1.648929,6.859259,1.482,57.427,0.000861,0.880106,71,1,0,0
MCCOUG,MCCOUG,MCCOUG71,71,216,18,1,0.720504,1.4972,0,1.65783,8.120988,1.49,49.847,0.000748,0.880106,71,1,0,0
MCMONT,MCMONT,MCMONT71,71,217,18,1,0.595681,1.8,0,1.533214,9.525926,1.378,31.265,0.000469,0.880106,71,1,0,0
MCMARQ,MCMARQ,MCMARQ71,71,218,18,1,0.598251,1.8,0,1.630014,11.046914,1.465,75.197,0.001128,0.880106,71,1,0,0
ODCUTL,ODCUTL,ODCUTL71,71,221,19,1,0.445879,1.6016,0,1.86478,7.404938,1.676,251.14,0.003767,0.880106,71,1,0,0
ODDELT,ODDELT,ODDELT71,71,224,19,1,0.578313,1.768,0,1.730151,9.839506,1.555,113.352,0.0017,0.880106,71,1,0,0
OD98,OD98,OD9871,71,226,19,1,0.716364,1.7933,0,1.862555,11.980247,1.674,113.296,0.001699,0.880106,71,1,0,0
ODTORN,ODTORN,ODTORN71,71,227,19,1,0.773994,1.76,0,1.920412,13.474074,1.726,38.721,0.000581,0.880106,71,1,0,0
PLVALA,PLVALA,PLVALA71,71,231,16,1,0.440917,1.3608,0,1.852541,5.906173,1.665,246.417,0.003696,0.880106,71,1,0,0
PLBARC,PLBARC,PLBARC71,71,233,16,1,0.415282,1.4025,0,1.667843,6.553086,1.499,19.246,0.000289,0.880106,71,1,0,0
PLSATL,PLSATL,PLSATL71,71,236,16,1,0.446291,1.6195,0,1.602198,6.750617,1.44,115.05,0.001726,0.880106,71,1,0,0
PLFURY,PLFURY,PLFURY71,71,240,16,1,0.391363,1.728,0,1.4175,7.767901,1.274,28.641,0.00043,0.880106,71,1,0,0
PTVNTU,PTVNTU,PTVNTU71,71,243,19,1,0.620181,1.4235,0,1.746841,6.14321,1.57,47.896,0.000718,0.880106,71,1,0,0
PTLEMA,PTLEMA,PTLEMA71,71,245,19,1,0.449055,1.5939,0,1.65783,7.222222,1.49,162.983,0.002444,0.880106,71,1,0,0
PTFIRB,PTFIRB,PTFIRB71,71,248,19,1,0.458281,1.4208,0,1.604423,7.523457,1.442,52.746,0.000791,0.880106,71,1,0,0
PTCATL,PTCATL,PTCATL71,71,250,19,1,0.613196,1.768,0,1.469794,9.308642,1.321,160.502,0.002407,0.880106,71,1,0,0
PTBNNV,PTBNNV,PTBNNV71,71,251,19,1,0.66461,1.8,0,1.534327,10.395062,1.379,40.42,0.000606,0.880106,71,1,0,0
PTGRNP,PTGRNP,PTGRNP71,71,253,19,1,0.776598,1.6401,0,1.733489,11.251852,1.558,70.581,0.001059,0.880106,71,1,0,0
ADSUPE,ADSUPE,ADSUPE71,71,1474,7,1,0.465766,1.1136,0,2.201909,7.641975,1.979,2.51,0.000038,0.880106,71,0,0,1
AD100L,AD100L,AD100L71,71,1475,7,1,0.487908,1.2627,0,1.98272,8.876543,1.782,18.737,0.000281,0.880106,71,0,0,1
CPSC20,CPSC20,CPSC2071,71,1478,25,1,0.373878,1.092,0,2.332088,6.037037,2.096,42.441,0.000637,0.880106,71,0,0,1
DTCB11,DTCB11,DTCB1171,71,1479,2,1,0.428481,0.906,0,2.79717,4.28642,2.514,53.226,0.000798,0.880106,71,0,1,0
DTPL51,DTPL51,DTPL5171,71,1480,2,1,0.439351,0.992,0,2.470055,5.234568,2.22,105.093,0.001576,0.880106,71,0,1,0
FT850,FT850,FT85071,71,1481,17,1,0.277778,0.7896,0,2.789382,3.839506,2.507,2.501,0.000038,0.880106,71,0,0,1
FT124,FT124,FT12471,71,1482,17,1,0.37594,1.0368,0,2.438901,5.138272,2.192,6.573,0.000099,0.880106,71,0,0,1
HD600,HD600,HD60071,71,1484,3,1,0.24375,0.8586,0,2.836113,3.444444,2.549,9.509,0.000143,0.880106,71,0,1,0
MZ616,MZ616,MZ61671,71,1485,4,1,0.436725,1.0106,0,2.542376,5.419753,2.285,3.003,0.000045,0.880106,71,0,1,0
MB220/,MB220/,MB220/71,71,1487,9,1,0.409722,1.295,0,1.858104,13.116049,1.67,2.708,0.000041,0.880106,71,0,0,1
MB2200,MB2200,MB220071,71,1488,9,1,0.398514,1.295,0,1.820275,13.380247,1.636,6.016,0.00009,0.880106,71,0,0,1
MB256/,MB256/,MB256/71,71,1489,9,1,0.525259,1.295,0,1.530989,15.748148,1.376,6.638,0.0001,0.880106,71,0,0,1
MB280S,MB280S,MB280S71,71,1491,9,1,0.622622,1.183,0,1.650041,18.441975,1.483,14.33,0.000215,0.880106,71,0,0,1
OP36,OP36,OP3671,71,1492,26,1,0.333532,1.053,0,2.612473,4.698765,2.348,2.199,0.000033,0.880106,71,0,0,1
PG504,PG504,PG50471,71,1493,14,1,0.364356,1.1682,0,2.087308,8.587654,1.876,3.566,0.000053,0.880106,71,0,0,1
PS914,PS914,PS91471,71,1494,12,1,0.430816,1.0205,0,2.280907,8.876543,2.05,10.531,0.000158,0.880106,71,0,0,1
PS911,PS911,PS91171,71,1496,12,1,0.634495,1.0496,0,1.952679,16.037037,1.755,5.328,0.00008,0.880106,71,0,0,1
RNR10,RNR10,RNR1071,71,1497,24,1,0.293655,1.002,0,2.553503,4.555556,2.295,7.366,0.00011,0.880106,71,0,0,1
SA99,SA99,SA9971,71,1498,11,1,0.349398,1.1352,0,2.122912,8.333333,1.908,2.346,0.000035,0.880106,71,0,0,1
TYCORO,TYCORO,TYCORO71,71,1501,1,1,0.450128,0.948,0,2.584657,4.920988,2.323,116.435,0.001746,0.880106,71,0,1,0
TYCORO,TYCORO,TYCORO71,71,1503,1,1,0.497696,1.0354,0,2.388832,5.308642,2.147,67.858,0.001018,0.880106,71,0,1,0
TYCRMK,TYCRMK,TYCRMK71,71,1504,1,1,0.467532,1.1008,0,2.298709,5.62963,2.066,78.092,0.001171,0.880106,71,0,1,0
TYCROW,TYCROW,TYCROW71,71,1505,1,1,0.387858,1.2395,0,1.773544,7.034568,1.594,3.934,0.000059,0.880106,71,0,1,0
TYCELI,TYCELI,TYCELI71,71,1506,1,1,0.427313,1.0332,0,2.335426,6.414815,2.099,17.572,0.000264,0.880106,71,0,1,0
VWBEET,VWBEET,VWBEET71,71,1507,7,1,0.319149,0.9699,0,2.692582,4.555556,2.42,354.574,0.005318,0.880106,71,0,0,1
VWSQB,VWSQB,VWSQB71,71,1508,7,1,0.240629,1.1008,0,2.480069,6.417284,2.229,80.196,0.001203,0.880106,71,0,0,1
VW411,VW411,VW41171,71,1509,7,1,0.328294,1.1946,0,2.060604,7.404938,1.852,24.78,0.000372,0.880106,71,0,0,1
VV144,VV144,VV14471,71,1510,6,1,0.376115,1.2627,0,2.182995,8.320988,1.962,10.77,0.000162,0.880106,71,0,0,1
VV164,VV164,VV16471,71,1511,6,1,0.441331,1.2648,0,2.082857,10.234568,1.872,9.691,0.000145,0.880106,71,0,0,1
AMGREM,AMGREM,AMGREM72,72,254,15,2,0.400962,1.1502,0,2.253263,4.782297,1.946,100.183,0.001468,0.871395,72,1,0,0
AMHORN,AMHORN,AMHORN72,72,256,15,2,0.371609,1.278,0,2.161789,5.41866,1.867,54.27,0.000795,0.871395,72,1,0,0
AMJAVL,AMJAVL,AMJAVL72,72,258,15,2,0.347705,1.4592,0,1.964947,6.715311,1.697,26.152,0.000383,0.871395,72,1,0,0
AMMATA,AMMATA,AMMATA72,72,260,15,2,0.315358,1.6068,0,2.130526,6.660287,1.84,36.311,0.000532,0.871395,72,1,0,0
AMAMBS,AMAMBS,AMAMBS71,71,262,15,2,0.424088,1.6536,0,1.660421,9.294258,1.434,29.92,0.000438,0.871395,72,1,0,0
BKLSAB,BKLSAB,BKLSAB72,72,265,19,2,0.357058,1.768,0,1.511053,9.4689,1.305,167.298,0.002451,0.871395,72,1,0,0
BKCNTU,BKCNTU,BKCNTU72,72,266,19,2,0.510667,1.768,0,1.420737,10.784689,1.227,31.219,0.000457,0.871395,72,1,0,0
BKELCT,BKELCT,BKELCT72,72,267,19,2,0.498339,1.816,0,1.326947,11.698565,1.146,167.504,0.002454,0.871395,72,1,0,0
BKRIVE,BKRIVE,BKRIVE72,72,268,19,2,0.575639,1.744,0,1.360526,12.318182,1.175,646.526,0.009473,0.871395,72,1,0,0
CDCALA,CDCALA,CDCALA72,72,269,19,2,0.468284,1.816,0,1.272526,14.205742,1.099,6.913,0.000101,0.871395,72,1,0,0
CDDEVI,CDDEVI,CDDEVI72,72,270,19,2,0.461991,1.816,0,1.252842,15.287081,1.082,186.974,0.00274,0.871395,72,1,0,0
CDELDR,CDELDR,CDELDR72,72,271,19,2,0.501922,1.784,0,1.194947,17.296651,1.032,40.082,0.000587,0.871395,72,1,0,0
CDFLTW,CDFLTW,CDFLTW72,72,272,19,2,0.452861,1.84,0,1.252842,18.270335,1.082,19.871,0.000291,0.871395,72,1,0,0
CVVEGA,CVVEGA,CVVEGA72,72,273,19,2,0.370714,1.122,0,2.393368,4.92823,2.067,265.221,0.003886,0.871395,72,1,0,0
CVNOVA,CVNOVA,CVNOVA72,72,274,19,2,0.36888,1.387,0,2.014737,5.691388,1.74,318.355,0.004664,0.871395,72,1,0,0
CVCHEV,CVCHEV,CVCHEV72,72,276,19,2,0.343321,1.5352,0,1.894316,6.30622,1.636,320.4,0.004694,0.871395,72,1,0,0
CVCAMA,CVCAMA,CVCAMA72,72,281,19,2,0.352451,1.41,0,1.802842,6.5311,1.557,46.932,0.000688,0.871395,72,1,0,0
CVMNTC,CVMNTC,CVMNTC72,72,283,19,2,0.470622,1.5732,0,1.850316,8.043062,1.598,202.272,0.002964,0.871395,72,1,0,0
CVBISC,CVBISC,CVBISC72,72,284,19,2,0.285196,1.76,0,1.831789,7.354067,1.582,15.603,0.000229,0.871395,72,1,0,0
CVBELA,CVBELA,CVBELA72,72,286,19,2,0.285418,1.76,0,1.582842,7.665072,1.367,40.335,0.000591,0.871395,72,1,0,0
CVIMPA,CVIMPA,CVIMPA72,72,288,19,2,0.280041,1.76,0,1.553895,8.059809,1.342,568.921,0.008336,0.871395,72,1,0,0
CVCAPR,CVCAPR,CVCAPR72,72,290,19,2,0.407088,1.76,0,1.369789,9.590909,1.183,183.295,0.002686,0.871395,72,1,0,0
CVCORV,CVCORV,CVCORV72,72,292,19,2,0.622084,1.2627,0,1.739158,13.090909,1.502,26.192,0.000384,0.871395,72,1,0,0
CRNEWP,CRNEWP,CRNEWP72,72,293,16,2,0.46398,1.8,0,1.440421,9.691388,1.244,76.14,0.001116,0.871395,72,1,0,0
CRNEWY,CRNEWY,CRNEWY72,72,294,16,2,0.519031,1.8,0,1.383684,11.638756,1.195,17.066,0.00025,0.871395,72,1,0,0
DGCOLT,DGCOLT,DGCOLT72,72,295,16,2,0.401548,1.0168,0,2.415368,5.342105,2.086,34.057,0.000499,0.871395,72,1,0,0
DGDART,DGDART,DGDART72,72,297,16,2,0.350263,1.379,0,2.165263,5.789474,1.87,223.709,0.003278,0.871395,72,1,0,0
DGCHLN,DGCHLN,DGCHLN72,72,300,16,2,0.358306,1.4784,0,1.806316,6.674641,1.56,25.165,0.000369,0.871395,72,1,0,0
DGCORN,DGCORN,DGCORN72,72,303,16,2,0.328358,1.6146,0,1.738,6.509569,1.501,135.845,0.00199,0.871395,72,1,0,0
DGPOLA,DGPOLA,DGPOLA71,71,308,16,2,0.391134,1.76,0,1.509895,8.655502,1.304,81.664,0.001197,0.871395,72,1,0,0
DGMONA,DGMONA,DGMONA72,72,309,16,2,0.439698,1.784,0,1.433474,9.796651,1.238,21.462,0.000314,0.871395,72,1,0,0
FDPINT,FDPINT,FDPINT72,72,311,18,2,0.262009,1.141,0,2.448947,4.688995,2.115,430.003,0.0063,0.871395,72,1,0,0
FDMAVE,FDMAVE,FDMAVE72,72,314,18,2,0.379981,1.3277,0,2.709474,5.251196,2.34,228.649,0.00335,0.871395,72,1,0,0
FDTORI,FDTORI,FDTORI72,72,316,18,2,0.279165,1.696,0,1.817895,6.318182,1.57,56.673,0.00083,0.871395,72,1,0,0
FDMUST,FDMUST,FDMUST72,72,319,18,2,0.341733,1.425,0,2.078421,6.409091,1.795,115.45,0.001692,0.871395,72,1,0,0
FDGRAN,FDGRAN,FDGRAN72,72,321,18,2,0.355909,1.425,0,1.975368,6.854067,1.706,296.191,0.00434,0.871395,72,1,0,0
FDCUST,FDCUST,FDCUST72,72,323,18,2,0.276807,1.752,0,1.669684,7.76555,1.442,22,0.000322,0.871395,72,1,0,0
FDGLX5,FDGLX5,FDGLX572,72,324,18,2,0.273572,1.752,0,1.652316,8.461722,1.427,180.67,0.002647,0.871395,72,1,0,0
FDLTD,FDLTD,FDLTD72,72,327,18,2,0.376384,1.752,0,1.446211,9.30622,1.249,298.419,0.004372,0.871395,72,1,0,0
FDTHNB,FDTHNB,FDTHNB72,72,329,18,2,0.484793,1.728,0,1.250526,12.662679,1.08,55.962,0.00082,0.871395,72,1,0,0
IMLEBA,IMLEBA,IMLEBA72,72,330,16,2,0.454087,1.888,1,1.330421,16.215311,1.149,14.321,0.00021,0.871395,72,1,0,0
LCCONT,LCCONT,LCCONT72,72,331,18,2,0.451795,1.8,1,1.541158,17.4689,1.331,44.8,0.000656,0.871395,72,1,0,0
LCMARK,LCMARK,LCMARK72,72,332,18,2,0.442404,1.768,1,1.310737,20.669856,1.132,49.634,0.000727,0.871395,72,1,0,0
MCCOME,MCCOME,MCCOME72,72,333,18,2,0.534779,1.3277,0,2.336632,5.736842,2.018,66.577,0.000975,0.871395,72,1,0,0
MCMONT,MCMONT,MCMONT72,72,335,18,2,0.405327,1.6827,0,1.673158,6.801435,1.445,107.526,0.001575,0.871395,72,1,0,0
MCCOUG,MCCOUG,MCCOUG72,72,337,18,2,0.499695,1.4972,0,1.674316,7.215311,1.446,48.178,0.000706,0.871395,72,1,0,0
MCMONT,MCMONT,MCMONT72,72,338,18,2,0.394101,1.8,0,1.426526,9.074163,1.232,25.161,0.000369,0.871395,72,1,0,0
MCMARQ,MCMARQ,MCMARQ72,72,340,18,2,0.474236,1.8,0,1.555053,10.748804,1.343,84.879,0.001244,0.871395,72,1,0,0
ODCUTL,ODCUTL,ODCUTL71,71,342,19,2,0.464711,1.6016,0,1.76,7.334928,1.52,282.314,0.004136,0.871395,72,1,0,0
ODDELT,ODDELT,ODDELT72,72,344,19,2,0.382135,1.784,0,1.496,9.444976,1.292,103.725,0.00152,0.871395,72,1,0,0
OD98,OD98,OD9872,72,346,19,2,0.505845,1.824,0,1.432316,11.5,1.237,119.028,0.001744,0.871395,72,1,0,0
ODTORN,ODTORN,ODTORN72,72,347,19,2,0.550176,1.768,0,1.376737,12.777512,1.189,46.463,0.000681,0.871395,72,1,0,0
PLVALA,PLVALA,PLVALA72,72,351,16,2,0.357143,1.3419,0,2.159474,5.65311,1.865,295.574,0.004331,0.871395,72,1,0,0
PLBARC,PLBARC,PLBARC72,72,353,16,2,0.361842,1.4025,0,1.842211,6.483254,1.591,17.155,0.000251,0.871395,72,1,0,0
PLSATL,PLSATL,PLSATL72,72,356,16,2,0.335366,1.6195,0,1.769263,6.406699,1.528,127.894,0.001874,0.871395,72,1,0,0
PLFURY,PLFURY,PLFURY71,71,359,16,2,0.390625,1.744,0,1.515684,8.287081,1.309,23.002,0.000337,0.871395,72,1,0,0
PTVNTU,PTVNTU,PTVNTU72,72,362,19,2,0.369251,1.4235,0,2.008947,5.870813,1.735,66.178,0.00097,0.871395,72,1,0,0
PTLEMA,PTLEMA,PTLEMA72,72,364,19,2,0.336494,1.5939,0,1.812105,6.732057,1.565,174.622,0.002559,0.871395,72,1,0,0
PTLMNS,PTLMNS,PTLMNS72,72,366,19,2,0.398506,1.5939,0,1.450842,8.107656,1.253,21.864,0.00032,0.871395,72,1,0,0
PTFIRB,PTFIRB,PTFIRB72,72,367,19,2,0.347113,1.4208,0,1.832947,6.789474,1.583,178.271,0.002612,0.871395,72,1,0,0
PTCATL,PTCATL,PTCATL72,72,369,19,2,0.385171,1.784,0,1.504105,8.882775,1.299,37.104,0.000544,0.871395,72,1,0,0
PTBNNV,PTBNNV,PTBNNV72,72,370,19,2,0.431437,1.816,0,1.435789,9.973684,1.24,96.716,0.001417,0.871395,72,1,0,0
AR2000,AR2000,AR200072,72,1512,20,2,0.528256,1.0726,0,2.036737,10.177033,1.759,1.982,0.000029,0.871395,72,0,0,1
AD90,AD90,AD9072,72,1513,7,2,0.41919,1.1136,0,2.312316,7.643541,1.997,27.288,0.0004,0.871395,72,0,0,1
BWBAVR,BWBAVR,BWBAVR72,72,1516,8,2,0.662945,1.2765,0,1.881579,13.289474,1.625,27.253,0.000399,0.871395,72,0,0,1
CPSPOR,CPSPOR,CPSPOR72,72,1517,25,2,0.30389,1.092,0,2.168737,6.047847,1.873,1.591,0.000023,0.871395,72,0,0,1
DTLB11,DTLB11,DTLB1172,72,1519,2,2,0.428481,0.906,0,2.910947,4.727273,2.514,65.721,0.000963,0.871395,72,0,1,0
DTPL51,DTPL51,DTPL5171,71,1520,2,2,0.450759,0.992,0,2.600632,5.875598,2.246,72.33,0.00106,0.871395,72,0,1,0
FT128,FT128,FT12872,72,1523,17,2,0.279202,0.9702,0,2.842632,4.803828,2.455,4.494,0.000066,0.871395,72,0,0,1
MZ808,MZ808,MZ80872,72,1525,4,2,0.357143,1.008,0,2.760421,5.490431,2.384,3.49,0.000051,0.871395,72,0,1,0
MZRX3,MZRX3,MZRX372,72,1527,4,2,0.430622,1.008,0,2.476737,6.925837,2.139,5.528,0.000081,0.871395,72,0,1,0
MB220/,MB220/,MB220/71,71,1528,9,2,0.395575,1.295,0,1.883895,14.992823,1.627,2.618,0.000038,0.871395,72,0,0,1
MB2200,MB2200,MB220071,71,1529,9,2,0.386252,1.295,0,1.849158,15.342105,1.597,5.968,0.000087,0.871395,72,0,0,1
MB250/,MB250/,MB250/72,72,1530,9,2,0.496993,1.295,0,1.763474,17.267943,1.523,3.269,0.000048,0.871395,72,0,0,1
MB280S,MB280S,MB280S72,72,1531,9,2,0.463674,1.3896,1,1.757684,22.73445,1.518,13.038,0.000191,0.871395,72,0,0,1
OP31,OP31,OP3172,72,1532,26,2,0.399574,1.0044,0,2.545053,4.901914,2.198,0.882,0.000013,0.871395,72,0,0,1
PG504,PG504,PG50471,71,1533,14,2,0.388119,1.1682,0,2.138632,8.935407,1.847,3.161,0.000046,0.871395,72,0,0,1
PSRDST,PSRDST,PSRDST72,72,1534,12,2,0.430816,1.0205,0,2.457053,8.983254,2.122,15.479,0.000227,0.871395,72,0,0,1
PS911T,PS911T,PS911T72,72,1535,12,2,0.636771,1.0496,0,2.120105,17.344498,1.831,5.239,0.000077,0.871395,72,0,0,1
RNR12,RNR12,RNR1272,72,1536,24,2,0.356098,1.1245,0,2.459368,5.490431,2.124,3.067,0.000045,0.871395,72,0,0,1
SA99RE,SA99RE,SA99RE72,72,1537,11,2,0.372549,1.1524,0,2.054105,9.078947,1.774,3.118,0.000046,0.871395,72,0,0,1
TYCORO,TYCORO,TYCORO71,71,1540,1,2,0.450128,0.948,0,2.689789,5.217703,2.323,108.896,0.001596,0.871395,72,0,1,0
TYCORO,TYCORO,TYCORO71,71,1542,1,2,0.447005,0.9405,0,2.655053,5.705742,2.293,49.477,0.000725,0.871395,72,0,1,0
TYMKII,TYMKII,TYMKII72,72,1543,1,2,0.420824,1.1008,0,2.474421,6.145933,2.137,59.744,0.000875,0.871395,72,0,1,0
VWBEET,VWBEET,VWBEET71,71,1545,7,2,0.319149,0.9699,0,2.802105,4.782297,2.42,360.449,0.005281,0.871395,72,0,0,1
VWSQBA,VWSQBA,VWSQBA72,72,1546,7,2,0.240629,1.1008,0,2.580947,6.576555,2.229,49.529,0.000726,0.871395,72,0,0,1
VW411,VW411,VW41171,71,1547,7,2,0.328294,1.1946,0,2.061053,7.834928,1.78,32.562,0.000477,0.871395,72,0,0,1
VV144,VV144,VV14471,71,1548,6,2,0.374517,1.2627,0,2.122421,8.588517,1.833,10.227,0.00015,0.871395,72,0,0,1
VV164,VV164,VV16471,71,1549,6,2,0.433287,1.2648,0,1.915158,10.454545,1.654,10.151,0.000149,0.871395,72,0,0,1
AMGREM,AMGREM,AMGREM72,72,373,15,3,0.378501,1.1786,0,2.067804,4.725225,1.807,133.018,0.001904,0.885776,73,1,0,0
AMHORN,AMHORN,AMHORN72,72,375,15,3,0.350385,1.3135,0,2.079247,5.277027,1.817,90.029,0.001289,0.885776,73,1,0,0
AMJAVL,AMJAVL,AMJAVL72,72,377,15,3,0.348675,1.4668,0,1.923619,6.506757,1.681,26.894,0.000385,0.885776,73,1,0,0
AMMATA,AMMATA,AMMATA72,72,379,15,3,0.304044,1.6302,0,1.828639,6.425676,1.598,43.622,0.000624,0.885776,73,1,0,0
